1994,Males,"Natural, Physical & Mathematical Sciences",374
1994,Females,"Natural, Physical & Mathematical Sciences",566
1994,Females,Medicine,66
1994,Males,Medicine,99
1994,Males,Dentistry,23
1994,Females,Dentistry,6
1994,Males,Law,87
1994,Males,Education,na
1994,Males,Health Sciences,14
1994,Females,Health Sciences,39
1994,Males,Applied Arts,na
1994,Males,Humanities & Social Sciences,512
1994,Females,Services,na
1994,Females,Architecture & Building,182
1994,Males,Architecture & Building,136
1994,Females,Information Technology,196
1994,Males,Mass Communication,na
1994,Males,Information Technology,294
1994,Females,Engineering Sciences,227
1994,Males,Engineering Sciences,1666
1994,Males,Accountancy,271
1994,Males,Business & Administration,413
1994,Females,Mass Communication,na
1994,Females,Applied Arts,na
1994,Females,Humanities & Social Sciences,1133
1994,Females,Law,99
1994,Females,Business & Administration,733
1994,Females,Accountancy,378
1994,Females,Education,na
1994,Males,Services,na
