1995,Males,Services,na
1995,Females,Architecture & Building,156
1995,Females,Education,101
1995,Females,Engineering Sciences,276
1995,Females,Applied Arts,na
1995,Males,Mass Communication,na
1995,Females,Humanities & Social Sciences,1240
1995,Females,Services,na
1995,Females,Mass Communication,na
1995,Males,Accountancy,289
1995,Females,"Natural, Physical & Mathematical Sciences",572
1995,Males,Business & Administration,365
1995,Females,Dentistry,8
1995,Females,Information Technology,193
1995,Males,Applied Arts,na
1995,Males,Education,12
1995,Females,Health Sciences,46
1995,Males,Dentistry,20
1995,Females,Accountancy,395
1995,Females,Business & Administration,788
1995,Males,Humanities & Social Sciences,497
1995,Males,Law,94
1995,Males,Health Sciences,12
1995,Females,Law,100
1995,Males,"Natural, Physical & Mathematical Sciences",460
1995,Males,Architecture & Building,140
1995,Females,Medicine,48
1995,Males,Medicine,93
1995,Males,Engineering Sciences,1715
1995,Males,Information Technology,306
